START,Time,,Upstream Pressure,,Downstream Pressure
DATA,0.67,PT_EU,2.933,PT_ED,5.376
DATA,0.68,PT_EU,1.711,PT_ED,-1.955
DATA,0.68,PT_EU,1.711,PT_ED,1.711
DATA,0.69,PT_EU,-10.508,PT_ED,5.376
DATA,0.7,PT_EU,0.489,PT_ED,4.154
DATA,0.7,PT_EU,2.933,PT_ED,4.154
DATA,0.71,PT_EU,-1.955,PT_ED,2.933
DATA,0.71,PT_EU,2.933,PT_ED,5.376
DATA,0.72,PT_EU,2.933,PT_ED,-0.733
DATA,0.73,PT_EU,-20.283,PT_ED,-19.062
DATA,0.73,PT_EU,-27.615,PT_ED,-1.955
DATA,0.74,PT_EU,-32.502,PT_ED,4.154
DATA,0.75,PT_EU,-5.621,PT_ED,2.933
DATA,0.75,PT_EU,-15.396,PT_ED,-21.505
DATA,0.76,PT_EU,6.598,PT_ED,-20.283
DATA,0.76,PT_EU,-4.399,PT_ED,-8.065
DATA,0.77,PT_EU,-22.727,PT_ED,-5.621
DATA,0.78,PT_EU,-1.955,PT_ED,-1.955
DATA,0.78,PT_EU,-5.621,PT_ED,-22.727
DATA,0.79,PT_EU,-5.621,PT_ED,-3.177
DATA,0.8,PT_EU,-34.946,PT_ED,-19.062
DATA,0.8,PT_EU,-11.73,PT_ED,-10.508
DATA,0.81,PT_EU,2.933,PT_ED,7.82
DATA,0.81,PT_EU,1.711,PT_ED,5.376
DATA,0.82,PT_EU,1.711,PT_ED,4.154
DATA,0.83,PT_EU,1.711,PT_ED,5.376
DATA,0.83,PT_EU,-6.843,PT_ED,6.598
DATA,0.84,PT_EU,-10.508,PT_ED,5.376
DATA,0.85,PT_EU,-11.73,PT_ED,2.933
DATA,0.85,PT_EU,1.711,PT_ED,-4.399
DATA,0.86,PT_EU,4.154,PT_ED,5.376
DATA,0.86,PT_EU,2.933,PT_ED,1.711
DATA,0.87,PT_EU,2.933,PT_ED,1.711
DATA,0.88,PT_EU,2.933,PT_ED,4.154
DATA,0.88,PT_EU,-8.065,PT_ED,-3.177
DATA,0.89,PT_EU,-3.177,PT_ED,5.376
DATA,0.89,PT_EU,1.711,PT_ED,4.154
DATA,0.9,PT_EU,-11.73,PT_ED,-0.733
DATA,0.91,PT_EU,1.711,PT_ED,1.711
DATA,0.91,PT_EU,-11.73,PT_ED,4.154
DATA,0.92,PT_EU,1.711,PT_ED,5.376
DATA,0.92,PT_EU,0.489,PT_ED,-3.177
DATA,0.93,PT_EU,-4.399,PT_ED,5.376
DATA,0.94,PT_EU,1.711,PT_ED,5.376
DATA,0.94,PT_EU,-6.843,PT_ED,4.154
DATA,0.95,PT_EU,-1.955,PT_ED,-4.399
DATA,0.95,PT_EU,-6.843,PT_ED,5.376
